age,city,country,education_среднее
42,1212,32,1.0
13,1180,32,1.0
53,9,32,1.0
66,1134,32,1.0
66,1134,32,1.0
44,1134,32,1.0
22,1187,32,0.0
64,1134,32,1.0
24,1176,32,0.0
19,1134,32,0.0
43,1,32,1.0
37,73,32,1.0
38,73,32,1.0
66,1157,32,1.0
44,1188,32,1.0
43,1167,32,1.0
37,1134,32,1.0
34,0,32,1.0
38,1142,32,1.0
53,1201,32,1.0
46,1183,32,1.0
37,1134,32,1.0
36,1185,32,1.0
37,1151,32,1.0
51,1182,32,0.0
30,1188,32,1.0
42,1185,32,1.0
26,1192,32,1.0
51,1134,32,1.0
60,1134,32,1.0
24,1162,32,0.0
50,1198,32,1.0
51,1153,32,1.0
51,1167,32,1.0
40,1134,32,1.0
28,1155,32,1.0
45,1156,32,1.0
41,1195,32,1.0
34,1157,32,1.0
50,1134,32,1.0
56,1176,32,1.0
51,1134,32,1.0
35,1178,32,1.0
48,1165,32,1.0
54,1188,32,1.0
33,1183,32,1.0
22,1155,32,0.0
29,1183,32,0.0
71,1168,32,1.0
34,1178,32,1.0
